match_id,date,group,team_a,team_b,score_a,score_b,outcome,total_goals,goal_diff,stage,source
A_Mexico_South_Africa,2026-06-11,A,Mexico,South Africa,2,0,2,2,2,Group Stage,wc2026_completed.csv
A_South_Korea_Czechia,2026-06-12,A,South Korea,Czechia,2,1,2,3,1,Group Stage,wc2026_completed.csv
B_Canada_Bosnia_and_Herzegovina,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,1,2,0,Group Stage,wc2026_completed.csv
B_Qatar_Switzerland,2026-06-13,B,Qatar,Switzerland,1,1,1,2,0,Group Stage,wc2026_completed.csv
C_Brazil_Morocco,2026-06-13,C,Brazil,Morocco,1,1,1,2,0,Group Stage,wc2026_completed.csv
D_USA_Paraguay,2026-06-13,D,USA,Paraguay,4,1,2,5,3,Group Stage,wc2026_completed.csv
C_Haiti_Scotland,2026-06-14,C,Haiti,Scotland,0,1,0,1,-1,Group Stage,wc2026_completed.csv
D_Australia_Turkey,2026-06-14,D,Australia,Turkey,2,0,2,2,2,Group Stage,wc2026_completed.csv
E_Germany_Curacao,2026-06-14,E,Germany,Curacao,7,1,2,8,6,Group Stage,wc2026_completed.csv
E_Ivory_Coast_Ecuador,2026-06-14,E,Ivory Coast,Ecuador,1,0,2,1,1,Group Stage,wc2026_completed.csv
F_Netherlands_Japan,2026-06-14,F,Netherlands,Japan,2,2,1,4,0,Group Stage,wc2026_completed.csv
F_Sweden_Tunisia,2026-06-15,F,Sweden,Tunisia,5,1,2,6,4,Group Stage,wc2026_completed.csv
G_Belgium_Egypt,2026-06-15,G,Belgium,Egypt,1,1,1,2,0,Group Stage,wc2026_completed.csv
H_Spain_Cabo_Verde,2026-06-15,H,Spain,Cabo Verde,0,0,1,0,0,Group Stage,wc2026_completed.csv
H_Saudi_Arabia_Uruguay,2026-06-15,H,Saudi Arabia,Uruguay,1,1,1,2,0,Group Stage,wc2026_completed.csv
I_Iraq_Norway,2026-06-16,I,Iraq,Norway,1,4,0,5,-3,Group Stage,wc2026_completed.csv
G_Iran_New_Zealand,2026-06-16,G,Iran,New Zealand,2,2,1,4,0,Group Stage,wc2026_completed.csv
I_France_Senegal,2026-06-16,I,France,Senegal,3,1,2,4,2,Group Stage,wc2026_completed.csv
J_Argentina_Algeria,2026-06-17,J,Argentina,Algeria,3,0,2,3,3,Group Stage,wc2026_completed.csv
J_Austria_Jordan,2026-06-17,J,Austria,Jordan,3,1,2,4,2,Group Stage,wc2026_completed.csv
K_Portugal_Congo_DR,2026-06-17,K,Portugal,Congo DR,1,1,1,2,0,Group Stage,wc2026_completed.csv
L_England_Croatia,2026-06-17,L,England,Croatia,4,2,2,6,2,Group Stage,wc2026_completed.csv
L_Ghana_Panama,2026-06-17,L,Ghana,Panama,1,0,2,1,1,Group Stage,wc2026_completed.csv
A_Czechia_South_Africa,2026-06-18,A,Czechia,South Africa,1,1,1,2,0,Group Stage,wc2026_completed.csv
B_Switzerland_Bosnia_and_Herzegovina,2026-06-18,B,Switzerland,Bosnia and Herzegovina,4,1,2,5,3,Group Stage,wc2026_completed.csv
B_Canada_Qatar,2026-06-18,B,Canada,Qatar,6,0,2,6,6,Group Stage,wc2026_completed.csv
K_Uzbekistan_Colombia,2026-06-18,K,Uzbekistan,Colombia,1,3,0,4,-2,Group Stage,wc2026_completed.csv
A_Mexico_South_Korea,2026-06-19,A,Mexico,South Korea,1,0,2,1,1,Group Stage,wc2026_completed.csv
C_Scotland_Morocco,2026-06-19,C,Scotland,Morocco,0,1,0,1,-1,Group Stage,wc2026_completed.csv
D_USA_Australia,2026-06-19,D,USA,Australia,2,0,2,2,2,Group Stage,wc2026_completed.csv
C_Brazil_Haiti,2026-06-20,C,Brazil,Haiti,3,0,2,3,3,Group Stage,wc2026_completed.csv
D_Turkey_Paraguay,2026-06-20,D,Turkey,Paraguay,0,1,0,1,-1,Group Stage,wc2026_completed.csv
