team_a,team_b,score,outcome_label,predicted_label,ens_prob_a,ens_draw,ens_prob_b,prob_of_actual,rps,is_upset,group,date
Ivory Coast,Ecuador,1-0,A wins,B wins,0.1339576806399166,0.4090900061640819,0.4569523131960013,0.1339576806399166,0.4794173577288847,True,E,2026-06-14
USA,Paraguay,4-1,A wins,B wins,0.1946181919195869,0.29295959915287,0.512422208927543,0.1946181919195869,0.455608188494529,True,D,2026-06-13
Spain,Cabo Verde,0-0,Draw,A wins,0.9364607745501672,0.0321293215132928,0.03140990393654,0.0321293215132928,0.43897268216820085,True,H,2026-06-15
USA,Australia,2-0,A wins,B wins,0.2291103327210051,0.2769409397199963,0.4939487275589985,0.2291103327210051,0.41912811228733665,True,D,2026-06-19
Sweden,Tunisia,5-1,A wins,B wins,0.2020163482643927,0.3798293197173272,0.41815433201828,0.2020163482643927,0.40581547691147457,True,F,2026-06-15
Paraguay,Turkey,1-0,A wins,B wins,0.2623412631512253,0.2958004769747499,0.4418582598740247,0.2623412631512253,0.36968956693411553,True,D,2026-06-20
Ghana,Panama,1-0,A wins,B wins,0.2831451767785005,0.2726909010223732,0.4441639221991263,0.2831451767785005,0.35558121367961937,True,L,2026-06-17
Mexico,South Korea,1-0,A wins,Draw,0.2447646363264697,0.4111736993203606,0.3440616643531696,0.2447646363264697,0.34437944171028134,True,A,2026-06-19
Australia,Turkey,2-0,A wins,B wins,0.2999713888853371,0.2813401452456627,0.4186884658690002,0.2999713888853371,0.3326700439154305,True,D,2026-06-14
Switzerland,Qatar,1-1,Draw,A wins,0.7780023195707736,0.1385112528250579,0.0834864276041684,0.1385112528250579,0.3061287964258051,True,B,2026-06-13
Portugal,Congo DR,1-1,Draw,A wins,0.6335112248056582,0.1986891762749718,0.1677995989193698,0.1986891762749718,0.21474658867613333,True,K,2026-06-17
South Africa,Czechia,1-1,Draw,B wins,0.2146091622025736,0.2348184834919284,0.5505723543054979,0.2348184834919284,0.17459350491339468,True,A,2026-06-18
Austria,Jordan,3-1,A wins,A wins,0.4744367746904475,0.2755364416331565,0.2500267836763959,0.4744367746904475,0.16936504817667145,False,J,2026-06-17
Uzbekistan,Colombia,1-3,B wins,B wins,0.2436084136937419,0.2772125244643084,0.4791790618419496,0.4791790618419496,0.1652997544231065,False,K,2026-06-18
Iran,New Zealand,2-2,Draw,A wins,0.5546656054370573,0.2942987193022003,0.1510356752607423,0.2942987193022003,0.16523285452816291,True,G,2026-06-16
Canada,Bosnia and Herzegovina,1-1,Draw,A wins,0.5368350661135404,0.2696073961015297,0.1935575377849299,0.2696073961015297,0.16282820432124692,True,B,2026-06-12
Saudi Arabia,Uruguay,1-1,Draw,B wins,0.1671982947931443,0.2949483645619921,0.5378533406448635,0.2949483645619921,0.15862074291228742,True,H,2026-06-15
Canada,Qatar,6-0,A wins,A wins,0.4705359592660803,0.3580082211553406,0.171455819578579,0.4705359592660803,0.15486463424882604,False,B,2026-06-18
Netherlands,Japan,2-2,Draw,B wins,0.3438959998448068,0.2381186094476429,0.4179853907075502,0.2381186094476429,0.14648812277710144,True,F,2026-06-14
Brazil,Morocco,1-1,Draw,A wins,0.4651800728835797,0.2867332863476801,0.2480866407687402,0.2867332863476801,0.13896974076794524,True,C,2026-06-13
Norway,Iraq,4-1,A wins,A wins,0.5520994661140338,0.2354676769617247,0.2124328569242415,0.5520994661140338,0.12287130347816441,False,I,2026-06-16
France,Senegal,3-1,A wins,A wins,0.5562488307333999,0.2338243480576369,0.209926821208963,0.5562488307333999,0.12049218524418737,False,I,2026-06-16
South Korea,Czechia,2-1,A wins,A wins,0.5667690629585795,0.2160096093062877,0.2172213277351327,0.5667690629585795,0.11743707501640058,False,A,2026-06-12
Belgium,Egypt,1-1,Draw,A wins,0.3988643630336534,0.3779233001332082,0.2232123368331384,0.3779233001332082,0.10445826370637626,True,G,2026-06-15
Morocco,Scotland,1-0,A wins,A wins,0.5818432292468265,0.2454983641081746,0.1726584066449988,0.5818432292468265,0.10233300515595593,False,C,2026-06-19
England,Croatia,4-2,A wins,A wins,0.5918677918256863,0.2505913624008247,0.157540845773489,0.5918677918256863,0.0956955087181338,False,L,2026-06-17
Mexico,South Africa,2-0,A wins,A wins,0.5799381955590432,0.3005294678712229,0.1195323365697337,0.5799381955590432,0.09536994951800637,False,A,2026-06-11
Haiti,Scotland,0-1,B wins,B wins,0.1439588265523688,0.2359650060949614,0.6200761673526697,0.6200761673526697,0.08253313117788579,False,C,2026-06-14
Germany,Curacao,7-1,A wins,A wins,0.7320608899718248,0.1647673381542835,0.1031717718738917,0.7320608899718248,0.04121789059714445,False,E,2026-06-14
Bosnia and Herzegovina,Switzerland,1-4,B wins,B wins,0.0828726813495269,0.1683013065171752,0.7488260121332978,0.7488260121332978,0.034978126747461216,False,B,2026-06-18
Brazil,Haiti,3-0,A wins,A wins,0.7995236229077712,0.1266386645863534,0.0738377125058754,0.7995236229077712,0.022821392780062903,False,C,2026-06-20
Argentina,Algeria,3-0,A wins,A wins,0.8244209098874653,0.0994020704814701,0.0761770196310645,0.8244209098874653,0.01831547760230859,False,J,2026-06-17
