team,american_odds,raw_implied_prob,fair_implied_prob,model_prob,edge
Spain,+550,0.15385,0.12774,0.2434,0.11566
England,+550,0.15385,0.12774,0.2007,0.07296
Japan,+5000,0.01961,0.01628,0.0851,0.06882
Argentina,+850,0.10526,0.0874,0.0814,-0.006
Switzerland,+6500,0.01515,0.01258,0.0542,0.04162
Norway,+3000,0.03226,0.02678,0.0377,0.01092
Ecuador,+12000,0.00826,0.00686,0.0326,0.02574
France,+380,0.20833,0.17298,0.0291,-0.14388
Germany,+1300,0.07143,0.05931,0.0281,-0.03121
Morocco,+3000,0.03226,0.02678,0.0276,0.00082
Australia,+20000,0.00498,0.00413,0.0218,0.01767
Netherlands,+1800,0.05263,0.0437,0.0199,-0.0238
Brazil,+1200,0.07692,0.06387,0.016,-0.04787
South Korea,+15000,0.00662,0.0055,0.0157,0.0102
Colombia,+5000,0.01961,0.01628,0.0137,-0.00258
Uruguay,+10000,0.0099,0.00822,0.0114,0.00318
Ivory Coast,+20000,0.00498,0.00413,0.0091,0.00497
Portugal,+1000,0.09091,0.07548,0.0083,-0.06718
Senegal,+10000,0.0099,0.00822,0.0073,-0.00092
Egypt,+40000,0.00249,0.00207,0.0069,0.00483
Paraguay,+45000,0.00222,0.00184,0.0066,0.00476
Iran,+100000,0.001,0.00083,0.0064,0.00557
Croatia,+9000,0.01099,0.00912,0.0059,-0.00322
Mexico,+5500,0.01786,0.01483,0.005,-0.00983
Tunisia,+150000,0.00067,0.00055,0.004,0.00345
Austria,+16000,0.00621,0.00516,0.0038,-0.00136
Belgium,+4000,0.02439,0.02025,0.0031,-0.01715
Uzbekistan,+250000,0.0004,0.00033,0.0029,0.00257
Jordan,+250000,0.0004,0.00033,0.0022,0.00187
Scotland,+30000,0.00332,0.00276,0.002,-0.00076
Canada,+15000,0.00662,0.0055,0.0015,-0.004
Saudi Arabia,+80000,0.00125,0.00104,0.0012,0.00016
USA,+3500,0.02778,0.02306,0.001,-0.02206
DR Congo,+80000,0.00125,0.00104,0.0005,-0.00054
Iraq,+250000,0.0004,0.00033,0.0004,7e-05
Ghana,+50000,0.002,0.00166,0.0003,-0.00136
Sweden,+12000,0.00826,0.00686,0.0003,-0.00656
Bosnia-Herzegovina,+70000,0.00143,0.00118,0.0001,-0.00108
New Zealand,+250000,0.0004,0.00033,0.0001,-0.00023
Czech Republic,+35000,0.00285,0.00237,0.0001,-0.00227
Algeria,+30000,0.00332,0.00276,0.0,-0.00276
South Africa,+200000,0.0005,0.00041,0.0,-0.00041
Panama,+200000,0.0005,0.00041,0.0,-0.00041
Cape Verde,+250000,0.0004,0.00033,0.0,-0.00033
Qatar,+250000,0.0004,0.00033,0.0,-0.00033
Curacao,+250000,0.0004,0.00033,0.0,-0.00033
